amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,std_dev_ann_pct,max_drawdown_pct,expense_ratio_pct,risk_grade,benchmark_3yr_pct,benchmark_difference_pct,benchmark_status
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,0.88,1.29,0.87,0.89,14.0,-21.7,1.54,Moderate,11.49,0.8699999999999992,Outperforming
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,0.81,1.29,1.78,0.87,14.0,-24.43,0.66,Moderate,9.52,1.7800000000000011,Outperforming
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,0.94,1.35,1.23,0.89,25.0,-13.35,1.43,Very High,22.16,1.2300000000000004,Outperforming
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,0.93,1.67,1.13,1.04,25.0,-24.78,0.72,Very High,22.01,1.129999999999999,Outperforming
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,1.52,2.11,1.6,0.22,4.0,-2.3,0.77,Low,4.47,1.6000000000000003,Outperforming
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,1.06,1.7,0.78,0.97,14.0,-17.41,1.55,Moderate,14.06,0.7799999999999994,Outperforming
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,0.96,1.45,1.13,0.97,14.0,-33.5,0.92,Moderate,12.25,1.1300000000000008,Outperforming
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,0.87,1.44,0.95,0.91,19.0,-13.67,1.38,High,15.63,0.9499999999999976,Outperforming
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,0.8,1.38,0.9,1.04,19.0,-32.22,0.78,High,14.39,0.8999999999999986,Outperforming
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,1.84,2.79,1.98,0.44,4.0,-6.01,0.56,Low,5.39,1.9800000000000004,Outperforming
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,0.82,1.12,0.66,0.96,14.0,-25.91,1.42,Moderate,10.88,0.6599999999999984,Outperforming
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,1.03,1.27,0.88,1.03,14.0,-26.59,0.8,Moderate,13.53,0.8800000000000008,Outperforming
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,0.95,1.45,0.89,1.0,19.0,-21.84,1.36,High,17.19,0.889999999999997,Outperforming
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,0.98,1.5,0.55,0.92,15.0,-21.89,1.41,Moderately High,14.21,0.5499999999999989,Outperforming
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,7.68,10.37,1.85,0.26,0.5,-2.62,0.74,Low,5.83,1.85,Outperforming
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,1.0,1.68,0.86,0.88,14.0,-16.07,1.51,Moderate,13.14,0.8599999999999994,Outperforming
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,0.88,1.48,1.7,1.02,14.0,-18.14,0.72,Moderate,10.63,1.6999999999999993,Outperforming
