amfi_code,sector_hhi,concentration_level
119092,0.29676909,High
148569,0.25499194,High
125498,0.253155,High
102887,0.25138255,High
149323,0.24107664,Moderate
120505,0.23869504,Moderate
118635,0.23749677,Moderate
119599,0.23236120000000002,Moderate
120506,0.23146434000000002,Moderate
100033,0.22764743999999998,Moderate
119552,0.22750834999999997,Moderate
101207,0.22272651000000002,Moderate
120504,0.22121302999999998,Moderate
118633,0.22120032000000003,Moderate
148568,0.21808584999999997,Moderate
120841,0.21589315000000003,Moderate
118632,0.20725894,Moderate
148567,0.20124815,Moderate
149324,0.18870081999999994,Moderate
119598,0.18808485000000003,Moderate
119093,0.1842332,Moderate
149322,0.18269533000000002,Moderate
120503,0.18216749999999998,Moderate
102885,0.18071201999999997,Moderate
100016,0.18058807999999998,Moderate
101206,0.18004225000000004,Moderate
119094,0.17510025,Moderate
125497,0.17241088,Moderate
120842,0.16206189,Moderate
118634,0.16029924,Moderate
119095,0.15958229000000002,Moderate
119551,0.14249103999999999,Low
120843,0.13620616000000002,Low
102886,0.12402024,Low
