amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,final_score,overall_rank
148567,34.00091602163293,1.4482911703262595,0.2698375144191807,-0.11265729075028275,1.46,2.0,1.0,7.0,23.0,8.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588,1
120505,31.777537151234704,1.1801011976606497,0.2926358334175106,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718,2
120843,29.58277033726251,1.3067439695428407,0.27330465038306057,-0.1297396816518679,1.45,7.0,2.0,5.0,22.0,13.0,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153,3
100033,32.442459421956116,1.0936987435346308,0.2719535450128533,-0.16217208574644848,1.38,4.0,7.0,6.0,16.0,20.0,92.3076923076923,84.61538461538461,87.17948717948718,61.53846153846154,51.28205128205128,80.64102564102562,4
120504,32.48742855621496,1.0265242847993004,0.2119482701352573,-0.12588275606922517,0.8,3.0,10.0,13.0,12.0,12.0,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949,5
119094,35.11180209642853,0.9982309868636414,0.2607666908004223,-0.20960883862039192,1.38,1.0,11.0,9.0,16.0,28.0,100.0,74.35897435897436,79.48717948717949,61.53846153846154,30.76923076923077,76.7948717948718,6
119551,30.456524420302888,1.2082665673727175,0.23201007160635082,-0.1501238549864533,1.54,6.0,4.0,10.0,30.0,17.0,87.17948717948718,92.3076923076923,76.92307692307693,25.64102564102564,58.97435897435898,74.35897435897435,7
148569,29.178901578393777,1.2349300257743296,0.2827036785246582,-0.1639674294693263,1.6,8.0,3.0,4.0,36.0,21.0,82.05128205128204,94.87179487179486,92.3076923076923,10.256410256410255,48.717948717948715,73.2051282051282,8
101206,28.96769452874166,1.0272133278753697,0.21399784776051212,-0.11291596329323073,1.6,9.0,9.0,12.0,36.0,9.0,79.48717948717949,79.48717948717949,71.7948717948718,10.256410256410255,79.48717948717949,67.56410256410257,9
119598,26.66992200118774,0.9453082575156093,0.3033696538698332,-0.2870600572176455,1.43,12.0,14.0,1.0,21.0,36.0,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153,10
149324,27.000426614519245,0.9497958246616031,0.3005787817097677,-0.31171900300634214,1.52,10.0,13.0,2.0,26.0,37.0,76.92307692307693,69.23076923076923,97.43589743589743,35.8974358974359,7.6923076923076925,66.02564102564104,11
118632,22.652359830098632,1.0816591793457044,0.21829397904608644,-0.17414075086657232,1.51,14.0,8.0,11.0,24.0,23.0,66.66666666666666,82.05128205128204,74.35897435897436,41.02564102564102,43.58974358974359,65.8974358974359,12
149323,26.869990828902203,1.1321218524747245,0.26598577542043045,-0.17248105753451382,1.61,11.0,6.0,8.0,38.0,22.0,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359,12
119552,16.267372294624916,0.9532794968660103,0.1986859936686296,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,43.58974358974359,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,65.12820512820512,14
125497,18.434488610520173,0.7757902498211207,0.17729754927531766,-0.15200013055606398,0.92,19.0,18.0,16.0,14.0,18.0,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666666,56.41025641025641,58.205128205128204,15
118635,20.00820838047148,0.6648569985490619,0.1513635464823924,-0.1165062450540909,0.89,17.0,19.0,23.0,13.0,10.0,58.97435897435898,53.84615384615385,43.58974358974359,69.23076923076923,76.92307692307693,57.948717948717956,16
118633,21.08997654925684,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.72,15.0,21.0,22.0,5.0,26.0,64.1025641025641,48.717948717948715,46.15384615384615,89.74358974358975,35.8974358974359,57.69230769230769,17
102885,19.66726206830185,0.8170993373494368,0.17048756803412696,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385,18
148568,14.748035533586012,0.9262873467360148,0.20873010086942337,-0.1527259422823477,1.52,24.0,15.0,14.0,26.0,19.0,41.02564102564102,64.1025641025641,66.66666666666666,35.8974358974359,53.84615384615385,52.43589743589744,19
120503,13.978381933703044,0.7979728586052847,0.17703302365844073,-0.13897862823061635,1.42,25.0,17.0,17.0,20.0,14.0,38.46153846153847,58.97435897435898,58.97435897435898,51.28205128205128,66.66666666666666,52.43589743589744,19
120506,18.421996537444542,0.6488787755249533,0.1625385327998104,-0.1982565826298267,1.41,20.0,20.0,20.0,19.0,27.0,51.28205128205128,51.28205128205128,51.28205128205128,53.84615384615385,33.33333333333333,49.87179487179487,21
120507,7.394286300360076,0.4957233929533124,0.06746210411099539,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,28.205128205128204,43.58974358974359,23.076923076923077,84.61538461538461,100.0,46.666666666666664,22
119093,20.816771175535862,0.12961449795669325,0.08232801295222093,-0.21751396370148224,0.75,16.0,29.0,28.0,8.0,31.0,61.53846153846154,28.205128205128204,30.76923076923077,82.05128205128204,23.076923076923077,46.28205128205128,23
102887,25.556187904126524,0.6195175900829828,0.16211256794033255,-0.21539827112383225,1.64,13.0,22.0,21.0,39.0,30.0,69.23076923076923,46.15384615384615,48.717948717948715,2.564102564102564,25.64102564102564,45.0,24
